Airline ID,Departures Performed,Distance, Available Seats, Transported Passengers,Carrier Name,Year,Month ,Day,From - To City,Date,Weekend / Weekday
19874,7,276,0,0,Air Transport International,2013,6,13,"Rockford, IL - Toledo, OH",13-06-2013,Weekday
19874,3,702,0,0,Air Transport International,2013,7,12,"Seattle, WA - San Jose, CA",12-07-2013,Weekday
19874,14,337,0,0,Air Transport International,2013,7,17,"Raleigh/Durham, NC - Philadelphia, PA",17-07-2013,Weekday
19874,16,1952,0,0,Air Transport International,2013,8,20,"Los Angeles, CA - Toledo, OH",20-08-2013,Weekday
19874,9,526,0,0,Air Transport International,2013,8,24,"Minneapolis, MN - Toledo, OH",24-08-2013,Weekend
19874,3,276,0,0,Air Transport International,2013,8,1,"Rockford, IL - Toledo, OH",01-08-2013,Weekday
19874,2,1099,0,0,Air Transport International,2013,8,2,"Toledo, OH - Denver, CO",02-08-2013,Weekday
20357,3,2036,0,0,"Astar USA, LLC",2013,11,20,"Cincinnati, OH - San Francisco, CA",20-11-2013,Weekday
20357,20,526,0,0,"Astar USA, LLC",2013,11,2,"Minneapolis, MN - Toledo, OH",02-11-2013,Weekend
20357,11,1900,0,0,"Astar USA, LLC",2013,12,18,"Cincinnati, OH - Los Angeles, CA",18-12-2013,Weekday
19874,4,299,0,0,Air Transport International,2013,12,4,"Louisville, KY - Greer, SC",04-12-2013,Weekday
20405,7,449,0,0,"National Air Cargo Group, Inc. d/b/a Murray Air",2013,12,11,"Charlotte, NC - Philadelphia, PA",11-12-2013,Weekday
20405,3,325,0,0,"National Air Cargo Group, Inc. d/b/a Murray Air",2013,12,11,"Phoenix, AZ - Ontario, CA",11-12-2013,Weekday
20007,3,2419,0,0,Atlas Air Inc.,2013,11,19,"Everett, WA - Charleston, SC",19-11-2013,Weekday
20007,8,390,0,0,Atlas Air Inc.,2013,12,21,"Columbia, SC - Louisville, KY",21-12-2013,Weekend
20007,17,4243,0,0,Atlas Air Inc.,2013,12,24,"Chicago, IL - Honolulu, HI",24-12-2013,Weekday
20169,2,626,0,0,Lynden Air Cargo Airlines,2008,4,26,"Anchorage, AK - Deadhorse, AK",26-04-2008,Weekend
20341,6,571,0,0,Alaska Central Express,2008,12,24,"Juneau, AK - Anchorage, AK",24-12-2008,Weekday
20341,11,571,0,0,Alaska Central Express,2008,11,1,"Juneau, AK - Anchorage, AK",01-11-2008,Weekend
20108,2,626,0,0,Northern Air Cargo Inc.,2008,12,21,"Deadhorse, AK - Anchorage, AK",21-12-2008,Weekend
20341,3,775,0,0,Alaska Central Express,2008,12,19,"Ketchikan, AK - Anchorage, AK",19-12-2008,Weekday
19930,3,592,0,0,Alaska Airlines Inc.,2008,6,16,"Sitka, AK - Anchorage, AK",16-06-2008,Weekday
20169,10,549,0,0,Lynden Air Cargo Airlines,2008,12,27,"Kotzebue, AK - Anchorage, AK",27-12-2008,Weekend
20108,12,725,0,0,Northern Air Cargo Inc.,2008,10,20,"Anchorage, AK - Barrow, AK",20-10-2008,Weekday
20225,2,765,0,0,Peninsula Airways Inc.,2008,11,15,"St. George Island, AK - Anchorage, AK",15-11-2008,Weekend
20108,2,626,0,0,Northern Air Cargo Inc.,2008,11,13,"Deadhorse, AK - Anchorage, AK",13-11-2008,Weekday
20341,3,792,0,0,Alaska Central Express,2008,11,18,"Anchorage, AK - Unalaska, AK",18-11-2008,Weekday
20108,5,626,0,0,Northern Air Cargo Inc.,2008,12,15,"Anchorage, AK - Deadhorse, AK",15-12-2008,Weekday
20169,3,620,0,0,Lynden Air Cargo Airlines,2009,8,8,"Cold Bay, AK - Anchorage, AK",08-08-2009,Weekend
20341,4,792,0,0,Alaska Central Express,2009,7,5,"Anchorage, AK - Unalaska, AK",05-07-2009,Weekend
20108,17,725,0,0,Northern Air Cargo Inc.,2009,10,8,"Barrow, AK - Anchorage, AK",08-10-2009,Weekday
20108,11,725,0,0,Northern Air Cargo Inc.,2009,8,17,"Anchorage, AK - Barrow, AK",17-08-2009,Weekday
20108,16,725,0,0,Northern Air Cargo Inc.,2009,2,9,"Barrow, AK - Anchorage, AK",09-02-2009,Weekday
20341,11,620,0,0,Alaska Central Express,2009,11,22,"Cold Bay, AK - Anchorage, AK",22-11-2009,Weekend
20108,16,725,0,0,Northern Air Cargo Inc.,2009,5,17,"Barrow, AK - Anchorage, AK",17-05-2009,Weekend
20108,8,608,0,0,Northern Air Cargo Inc.,2009,7,8,"Anchorage, AK - Red Dog, AK",08-07-2009,Weekday
20341,5,503,0,0,Alaska Central Express,2009,2,12,"Unalaska, AK - King Salmon, AK",12-02-2009,Weekday
20408,2,574,0,0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2009,3,12,"Point Hope, AK - Fairbanks, AK",12-03-2009,Weekday
20108,9,608,0,0,Northern Air Cargo Inc.,2010,12,9,"Red Dog, AK - Anchorage, AK",09-12-2010,Weekday
20408,3,549,0,0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2010,6,4,"Kotzebue, AK - Anchorage, AK",04-06-2010,Weekday
20341,3,678,0,0,Alaska Central Express,2010,6,23,"Petersburg, AK - Anchorage, AK",23-06-2010,Weekday
20108,8,608,0,0,Northern Air Cargo Inc.,2010,2,25,"Red Dog, AK - Anchorage, AK",25-02-2010,Weekday
20108,10,725,0,0,Northern Air Cargo Inc.,2010,5,12,"Anchorage, AK - Barrow, AK",12-05-2010,Weekday
19930,14,571,0,0,Alaska Airlines Inc.,2010,5,5,"Anchorage, AK - Juneau, AK",05-05-2010,Weekday
20108,14,608,0,0,Northern Air Cargo Inc.,2010,6,24,"Anchorage, AK - Red Dog, AK",24-06-2010,Weekday
20341,2,620,0,0,Alaska Central Express,2011,2,9,"Anchorage, AK - Cold Bay, AK",09-02-2011,Weekday
19930,16,571,0,0,Alaska Airlines Inc.,2011,5,13,"Juneau, AK - Anchorage, AK",13-05-2011,Weekday
20341,10,518,0,0,Alaska Central Express,2011,3,28,"Petersburg, AK - Cordova, AK",28-03-2011,Weekday
20336,2,725,0,0,Hageland Aviation Service,2011,4,5,"Barrow, AK - Anchorage, AK",05-04-2011,Weekday
20408,3,792,0,0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2011,3,27,"Unalaska, AK - Anchorage, AK",27-03-2011,Weekend
20108,9,608,0,0,Northern Air Cargo Inc.,2011,8,8,"Anchorage, AK - Red Dog, AK",08-08-2011,Weekday
19930,4,539,0,0,Alaska Airlines Inc.,2011,8,20,"Nome, AK - Anchorage, AK",20-08-2011,Weekend
20108,11,725,0,0,Northern Air Cargo Inc.,2011,11,6,"Anchorage, AK - Barrow, AK",06-11-2011,Weekend
20108,9,725,0,0,Northern Air Cargo Inc.,2012,4,5,"Anchorage, AK - Barrow, AK",05-04-2012,Weekday
20408,16,549,0,0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2012,8,11,"Kotzebue, AK - Anchorage, AK",11-08-2012,Weekend
20341,2,503,0,0,Alaska Central Express,2012,3,24,"King Salmon, AK - Unalaska, AK",24-03-2012,Weekend
20341,4,792,0,0,Alaska Central Express,2012,10,28,"Anchorage, AK - Unalaska, AK",28-10-2012,Weekend
20108,2,626,0,0,Northern Air Cargo Inc.,2012,3,12,"Anchorage, AK - Deadhorse, AK",12-03-2012,Weekday
20108,12,608,0,0,Northern Air Cargo Inc.,2012,8,13,"Anchorage, AK - Red Dog, AK",13-08-2012,Weekday
20108,15,725,0,0,Northern Air Cargo Inc.,2012,8,6,"Anchorage, AK - Barrow, AK",06-08-2012,Weekday
20336,2,514,0,0,Hageland Aviation Service,2012,3,14,"St. Mary's, AK - Fairbanks, AK",14-03-2012,Weekday
20408,3,508,0,0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2012,1,14,"Bethel, AK - Unalaska, AK",14-01-2012,Weekend
20408,12,549,0,0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2012,3,5,"Kotzebue, AK - Anchorage, AK",05-03-2012,Weekday
20341,2,765,0,0,Alaska Central Express,2012,8,16,"St. George Island, AK - Anchorage, AK",16-08-2012,Weekday
20108,16,725,0,0,Northern Air Cargo Inc.,2013,5,26,"Anchorage, AK - Barrow, AK",26-05-2013,Weekend
20341,3,592,0,0,Alaska Central Express,2013,4,8,"Sitka, AK - Anchorage, AK",08-04-2013,Weekday
20408,2,634,0,0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2013,3,6,"Anchorage, AK - Tin City, AK",06-03-2013,Weekday
20341,8,518,0,0,Alaska Central Express,2013,1,9,"Petersburg, AK - Cordova, AK",09-01-2013,Weekday
20341,17,620,0,0,Alaska Central Express,2013,1,1,"Cold Bay, AK - Anchorage, AK",01-01-2013,Weekday
20108,5,549,0,0,Northern Air Cargo Inc.,2013,3,16,"Anchorage, AK - Kotzebue, AK",16-03-2013,Weekend
20169,3,626,0,0,Lynden Air Cargo Airlines,2013,7,6,"Deadhorse, AK - Anchorage, AK",06-07-2013,Weekend
20341,6,620,0,0,Alaska Central Express,2013,8,26,"Cold Bay, AK - Anchorage, AK",26-08-2013,Weekday
20108,12,608,0,0,Northern Air Cargo Inc.,2013,9,6,"Red Dog, AK - Anchorage, AK",06-09-2013,Weekday
19930,8,539,0,0,Alaska Airlines Inc.,2013,10,9,"Nome, AK - Anchorage, AK",09-10-2013,Weekday
20226,6,44,0,0,Spernak Airways Inc.,2013,6,3,"Anchorage, AK - Tyonek, AK",03-06-2013,Weekday
20226,2,44,0,0,Spernak Airways Inc.,2013,8,22,"Anchorage, AK - Tyonek, AK",22-08-2013,Weekday
20408,3,289,0,0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2008,6,28,"King Salmon, AK - Anchorage, AK",28-06-2008,Weekend
20341,4,240,0,0,Alaska Central Express,2008,5,9,"Sleetmute, AK - Anchorage, AK",09-05-2008,Weekday
20341,4,85,0,0,Alaska Central Express,2008,8,12,"King Salmon, AK - Ugashik, AK",12-08-2008,Weekday
20330,9,136,0,0,Arctic Transportation,2008,1,17,"Chevak, AK - Bethel, AK",17-01-2008,Weekday
20408,2,329,0,0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2008,7,9,"Galena, AK - Anchorage, AK",09-07-2008,Weekday
